measure,trend_price
38.142331288343556,3586205.45857143
38.42699386503068,3577100.2497142875
38.71165644171779,3577406.49942857
38.99631901840492,3601134.183714284
39.28098159509203,3586148.4994285693
39.565644171779155,3577920.0179999983
39.85030674846627,3859599.999999998
40.13496932515339,4204728.571428569
40.4196319018405,4550371.599999998
40.70429447852763,4990011.675714283
40.98895705521474,5281349.65485714
41.273619631901866,5554211.133999998
41.55828220858898,7878431.303999997
41.8429447852761,12004990.633142851
42.127607361963214,10882851.884571426
42.41226993865034,40829425.90828571
42.69693251533745,91673144.85342857
